age,stephPER,jamesPER,durantPER,jordanPER,cp3PER,wadePER,birdPER,shaqPER,duncanPER,kobePER
19,null,18.3,15.8,null,null,null,null,null,null,18.5
20,null,25.7,20.8,null,22.1,null,null,22.9,null,18.9
21,16.3,28.1,26.2,25.8,22,null,null,28.5,22.6,21.7
22,19.4,24.5,23.6,27.5,28.3,17.6,null,28.6,23.2,24.5
23,21.2,29.1,26.2,29.8,30,23.1,20.5,26.4,24.8,32.2
24,21.3,31.7,28.3,31.7,23.7,27.6,19.9,27.1,23.8,26.2
25,24.1,31.1,29.8,31.1,23.7,28.9,22.6,28.8,27,23.7
26,28,27.3,27.6,31.2,27,21.5,24.1,30.6,26.9,23.3
27,37.4,30.7,29.2,31.6,26.4,30.4,24.2,30.6,27.1,28
28,24.6,31.6,27.6,27.7,25.9,28,26.5,30.2,27,26.1
29,null,29.3,null,29.7,26,25.6,25.6,29.7,23.1,24.2
30,null,25.9,null,null,19.6,26.3,26.4,29.5,26.1,24.4
31,null,26.8,null,22.1,null,24,27.8,24.4,24.4,21.9
